Ad Unit Name,Size,Site,gamAdUnit,adyoulike.placement,appnexus.placement_id,kargo.placementId,nextMillennium.placement_id,pgamssp.placementId,seedtag.placement,seedtag.adUnitId,triplelift.inventoryCode,geniee.zoneId
portals-left-rail-1,160x600,games.op.gg,games.op.gg/portals-left-rail-1,d38c91963367413b19cac12175161fc7,,_nufurzZIwT,56869,14435,inBanner,37125501,,
portals-bottom-sticky,1000x100,games.op.gg,games.op.gg/portals-bottom-sticky,3fdb35aaca880ae9a1c99299649805f0,,_n77VPWn1ko,56871,14437,inScreen,37125499,,
left-rail-1,300x250,genshin-builds.com,genshin-builds.com/left-rail-1,0b6670e89fc5152f385f05dcace118a8,,_jr8hYbz2mn,78061,14975,inBanner,36762033,,
left-rail-2,300x600,genshin-builds.com,genshin-builds.com/left-rail-2,d38c91963367413b19cac12175161fc7,,_wYIcUVhH9l,78062,14976,inBanner,36762033,,
right-rail-1,300x250,genshin-builds.com,genshin-builds.com/right-rail-1,0b6670e89fc5152f385f05dcace118a8,,_jr8hYbz2mn,78063,14977,inBanner,36762033,,
right-rail-2,300x600,genshin-builds.com,genshin-builds.com/right-rail-2,d38c91963367413b19cac12175161fc7,,_wYIcUVhH9l,78064,14978,inBanner,36762033,,
video,300x169,genshin-builds.com,genshin-builds.com/video,,,,78065,,inStream,36762035,,
mobile-unit-(.*),300x250,genshin-builds.com,genshin-builds.com/mobile-unit,8d441d426adeaea9fc671c162e42adc1,,_otl4doa0PI,78066,14980,inBanner,36762034,,
billboard-(.*),970x250,genshin-builds.com,genshin-builds.com/billboard,c3db67f8eb975055504bf15dd06fc439,,_gbJjSLvwma,78067,14981,inBanner,36762034,,
leaderboard-(.*),728x90,genshin-builds.com,genshin-builds.com/leaderboard,81cded6577753d91e46630a79d8142d6,,_gbJjSLvwma,78069,14983,inBanner,36762034,,
anchor,1000x100,genshin-builds.com,genshin-builds.com/anchor,3fdb35aaca880ae9a1c99299649805f0,,,78068,14982,inScreen,36762032,,
left-rail-2,300x600,growagardengame.com,growagardengame.com/left-rail-2,d38c91963367413b19cac12175161fc7,,,,,inBanner,36762002,,
left-rail-1,300x250,growagardengame.com,growagardengame.com/left-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,,inBanner,36762002,,
right-rail-1,300x250,growagardengame.com,growagardengame.com/right-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,,inBanner,36762002,,
right-rail-2,300x600,growagardengame.com,growagardengame.com/right-rail-2,d38c91963367413b19cac12175161fc7,,,,,inBanner,36762002,,
leaderboard-(.*),728x90,growagardengame.com,growagardengame.com/leaderboard,81cded6577753d91e46630a79d8142d6,,,,,,,,
