Ad Unit Name,Size,Site,gamAdUnit,adyoulike.placement,appnexus.placement_id,kargo.placementId,nextMillennium.placement_id,pgamssp.placementId,seedtag.placement,seedtag.adUnitId,triplelift.inventoryCode,geniee.zoneId
anchor,1000x100,whichatlas.com,whichatlas.com/anchor,3fdb35aaca880ae9a1c99299649805f0,,,,17054,,,,
mobile-unit-(.*),300x250,whichatlas.com,whichatlas.com/mobile-unit,8d441d426adeaea9fc671c162e42adc1,,,,17055,,,,
interstitial,,whichatlas.com,whichatlas.com/interstitial,,,,,17057,,,,
video,300x169,whichatlas.com,whichatlas.com/video,265cf0a4a050dc6a3778aff3b22fc844,,,,17056,,,,
left-rail-1,300x250,omenspectate.com,omenspectate.com/left-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,17373,,,,
left-rail-2,300x600,omenspectate.com,omenspectate.com/left-rail-2,d38c91963367413b19cac12175161fc7,,,,17374,,,,
right-rail-1,300x250,omenspectate.com,omenspectate.com/right-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,17375,,,,
right-rail-2,300x600,omenspectate.com,omenspectate.com/right-rail-2,d38c91963367413b19cac12175161fc7,,,,17376,,,,
leaderboard-(.*),728x90,omenspectate.com,omenspectate.com/leaderboard,81cded6577753d91e46630a79d8142d6,,,,17378,,,,
billboard-(.*),970x250,omenspectate.com,omenspectate.com/billboard,c3db67f8eb975055504bf15dd06fc439,,,,17377,,,,
anchor,1000x100,omenspectate.com,omenspectate.com/anchor,3fdb35aaca880ae9a1c99299649805f0,,,,17380,,,,
mobile-unit-(.*),300x250,omenspectate.com,omenspectate.com/mobile-unit,8d441d426adeaea9fc671c162e42adc1,,,,17379,,,,
interstitial,,omenspectate.com,omenspectate.com/interstitial,,,,,17381,,,,
video,300x169,omenspectate.com,omenspectate.com/video,265cf0a4a050dc6a3778aff3b22fc844,,,,17382,,,,
left-rail-1,300x250,lolalytics.com,lolalytics.com/left-rail-1,0b6670e89fc5152f385f05dcace118a8,,,84915,18509,,,,
left-rail-2,300x600,lolalytics.com,lolalytics.com/left-rail-2,d38c91963367413b19cac12175161fc7,,,84917,18511,,,,
right-rail-1,300x250,lolalytics.com,lolalytics.com/right-rail-1,0b6670e89fc5152f385f05dcace118a8,,,84916,18510,,,,
right-rail-2,300x600,lolalytics.com,lolalytics.com/right-rail-2,d38c91963367413b19cac12175161fc7,,,84919,18513,,,,
leaderboard-(.*),728x90,lolalytics.com,lolalytics.com/leaderboard,81cded6577753d91e46630a79d8142d6,,,84918,18512,,,,
billboard-(.*),970x250,lolalytics.com,lolalytics.com/billboard,c3db67f8eb975055504bf15dd06fc439,,,84920,18514,,,,
anchor,1000x100,lolalytics.com,lolalytics.com/anchor,3fdb35aaca880ae9a1c99299649805f0,,,84921,18515,,,,
mobile-unit-(.*),300x250,lolalytics.com,lolalytics.com/mobile-unit,8d441d426adeaea9fc671c162e42adc1,,,84922,18516,,,,
interstitial,,lolalytics.com,lolalytics.com/interstitial,,,,84924,18518,,,,
video,300x169,lolalytics.com,lolalytics.com/video,265cf0a4a050dc6a3778aff3b22fc844,,,84923,18517,,,,
left-rail-1,300x250,nugget-ios.com,nugget-ios.com/left-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,18519,,,,
left-rail-2,300x600,nugget-ios.com,nugget-ios.com/left-rail-2,d38c91963367413b19cac12175161fc7,,,,18520,,,,
right-rail-1,300x250,nugget-ios.com,nugget-ios.com/right-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,18522,,,,
right-rail-2,300x600,nugget-ios.com,nugget-ios.com/right-rail-2,d38c91963367413b19cac12175161fc7,,,,18521,,,,
leaderboard-(.*),728x90,nugget-ios.com,nugget-ios.com/leaderboard,81cded6577753d91e46630a79d8142d6,,,,18523,,,,
billboard-(.*),970x250,nugget-ios.com,nugget-ios.com/billboard,c3db67f8eb975055504bf15dd06fc439,,,,18524,,,,
anchor,1000x100,nugget-ios.com,nugget-ios.com/anchor,3fdb35aaca880ae9a1c99299649805f0,,,,18526,,,,
mobile-unit-(.*),300x250,nugget-ios.com,nugget-ios.com/mobile-unit,8d441d426adeaea9fc671c162e42adc1,,,,18525,,,,
interstitial,,nugget-ios.com,nugget-ios.com/interstitial,,,,,18527,,,,
video,300x169,nugget-ios.com,nugget-ios.com/video,265cf0a4a050dc6a3778aff3b22fc844,,,,18528,,,,
left-rail-1,300x250,antimicro.net,antimicro.net/left-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,18530,,,,
left-rail-2,300x600,antimicro.net,antimicro.net/left-rail-2,d38c91963367413b19cac12175161fc7,,,,18529,,,,
right-rail-1,300x250,antimicro.net,antimicro.net/right-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,18531,,,,
right-rail-2,300x600,antimicro.net,antimicro.net/right-rail-2,d38c91963367413b19cac12175161fc7,,,,18532,,,,
